event_date,arm,change,klass,status_doc,detected,verdict,local_gap_days,days_of_data_within_3,n_pre_14d,n_post_14d,rate_pre_14d_pct,mdd_80pct_pp
2026-04-30,ChatGPT,"adversarial probes activated; query_type re-annotated on 4,284 rows",battery / battery annotation,declared (CHANGELOG.md:254-255) + candidate,no rupture,declared event with NO detectable rupture at alpha=0.05 (binomial binary segmentation); 4 observed days within +/-3 d; a shift of +3.7 pp would have been detected with 80% power on the 14 days either side (n=2112 vs 1536),1.0,4.0,2112.0,1536.0,17.234848484848484,3.6875394900390517
2026-04-30,Claude,"adversarial probes activated; query_type re-annotated on 4,284 rows",battery / battery annotation,declared (CHANGELOG.md:254-255) + candidate,no rupture,declared event with NO detectable rupture at alpha=0.05 (binomial binary segmentation); 4 observed days within +/-3 d; a shift of +4.3 pp would have been detected with 80% power on the 14 days either side (n=2043 vs 1536),1.0,4.0,2043.0,1536.0,26.08908467939305,4.255436862618323
2026-04-30,Gemini,"adversarial probes activated; query_type re-annotated on 4,284 rows",battery / battery annotation,declared (CHANGELOG.md:254-255) + candidate,no rupture,declared event with NO detectable rupture at alpha=0.05 (binomial binary segmentation); 4 observed days within +/-3 d; a shift of +1.2 pp would have been detected with 80% power on the 14 days either side (n=2112 vs 1536),1.0,4.0,2112.0,1536.0,1.183712121212121,1.2298560610152842
2026-04-30,Perplexity,"adversarial probes activated; query_type re-annotated on 4,284 rows",battery / battery annotation,declared (CHANGELOG.md:254-255) + candidate,no rupture,declared event with NO detectable rupture at alpha=0.05 (binomial binary segmentation); 4 observed days within +/-3 d; a shift of +6.5 pp would have been detected with 80% power on the 14 days either side (n=1056 vs 768),1.0,4.0,1056.0,768.0,54.92424242424242,6.548017668236628
2026-04-30,Groq,"adversarial probes activated; query_type re-annotated on 4,284 rows",battery / battery annotation,declared (CHANGELOG.md:254-255) + candidate,no rupture,declared event with NO detectable rupture at alpha=0.05 (binomial binary segmentation); 4 observed days within +/-3 d; a shift of +2.8 pp would have been detected with 80% power on the 14 days either side (n=2112 vs 1536),1.0,4.0,2112.0,1536.0,8.285984848484848,2.7700199826751883
2026-06-05,Gemini,GEMINI_THINKING_BUDGET set to 1024; Gemini dropped from MANDATORY_LLMS,generation configuration,candidate (ROADMAP_2026Q2-Q4.md:26-36),coincides,"COINCIDES: detected boundary 2026-06-04 -> 2026-06-06, distance 0 d, delta +1.5 pp, p_perm=0.001",2.0,6.0,3835.0,1344.0,1.199478487614081,1.1578017083950758
2026-06-17,Gemini,gemini-2.5-pro -> gemini-2.5-flash; thinking budget 1024 -> 0,model version + generation configuration,declared (METHODOLOGY_V2.md:91-92; MANUSCRIPT.md:331),not testable,NOT TESTABLE: the arm's nearest observations straddle a 60-day hole (2026-06-09 -> 2026-08-08); no detector can separate the event from the hole,60.0,0.0,3643.0,2880.0,1.5097447158934942,0.9693954447004454
2026-08-17,Groq,Groq retires llama-3.3-70b-versatile; five collections abort at preflight,provider-imposed outage,declared (CHANGELOG.md:180-186),not testable,event lies outside the arm's observed span (2026-04-23 to 2026-08-16): not testable,,0.0,,,,
2026-08-19,Groq,panel slot 5 replaced: Groq llama-3.3-70b -> xAI grok-4.6,engine replacement,declared (METHODOLOGY_V2.md:72-77; MANUSCRIPT.md:332),not testable,event lies outside the arm's observed span (2026-04-23 to 2026-08-16): not testable,,0.0,,,,
2026-08-19,Grok,panel slot 5 replaced: Groq llama-3.3-70b -> xAI grok-4.6,engine replacement,declared (METHODOLOGY_V2.md:72-77; MANUSCRIPT.md:332),not testable,event lies outside the arm's observed span (2026-08-23 to 2026-09-08): not testable,,0.0,,,,
2026-08-19,ChatGPT,TLS delegated to the OS certificate store (truststore),transport; declared to have no effect on data,declared non-event (CHANGELOG.md:172-176),not testable,NOT TESTABLE: the arm's nearest observations straddle a 7-day hole (2026-08-16 -> 2026-08-23); no detector can separate the event from the hole,7.0,1.0,2880.0,768.0,17.15277777777778,4.492174938902119
2026-08-19,Claude,TLS delegated to the OS certificate store (truststore),transport; declared to have no effect on data,declared non-event (CHANGELOG.md:172-176),not testable,NOT TESTABLE: the arm's nearest observations straddle a 7-day hole (2026-08-16 -> 2026-08-23); no detector can separate the event from the hole,7.0,1.0,2880.0,768.0,25.3125,5.095998726420187
2026-08-19,Gemini,TLS delegated to the OS certificate store (truststore),transport; declared to have no effect on data,declared non-event (CHANGELOG.md:172-176),not testable,NOT TESTABLE: the arm's nearest observations straddle a 7-day hole (2026-08-16 -> 2026-08-23); no detector can separate the event from the hole,7.0,1.0,2880.0,768.0,3.194444444444444,2.2991062289254796
2026-08-19,Perplexity,TLS delegated to the OS certificate store (truststore),transport; declared to have no effect on data,declared non-event (CHANGELOG.md:172-176),not testable,NOT TESTABLE: the arm's nearest observations straddle a 7-day hole (2026-08-16 -> 2026-08-23); no detector can separate the event from the hole,7.0,1.0,1388.0,384.0,50.93659942363112,8.028226017267581
2026-08-19,Groq,TLS delegated to the OS certificate store (truststore),transport; declared to have no effect on data,declared non-event (CHANGELOG.md:172-176),not testable,event lies outside the arm's observed span (2026-04-23 to 2026-08-16): not testable,,0.0,,,,
2026-08-19,Grok,TLS delegated to the OS certificate store (truststore),transport; declared to have no effect on data,declared non-event (CHANGELOG.md:172-176),not testable,event lies outside the arm's observed span (2026-08-23 to 2026-09-08): not testable,,0.0,,,,
2026-08-31,Perplexity,observation window unified at 200 characters across all arms,window unified,declared (CHANGELOG.md:81-93; MANUSCRIPT.md:333),not testable,NOT TESTABLE: the arm's nearest observations straddle a 8-day hole (2026-08-23 -> 2026-08-31); no detector can separate the event from the hole,8.0,1.0,1580.0,401.0,50.9493670886076,7.787739973985531
2026-08-31,Grok,XAI_REASONING_EFFORT reduced to low,generation configuration,declared (CHANGELOG.md:136-148; MANUSCRIPT.md:334),not testable,NOT TESTABLE: the arm's nearest observations straddle a 8-day hole (2026-08-23 -> 2026-08-31); no detector can separate the event from the hole,8.0,1.0,158.0,960.0,39.24050632911392,11.941330740644574
2026-08-31,Perplexity,Perplexity added to the probe stratum (calibracao_fp routing),battery coverage,candidate (CHANGELOG.md:99-104),not testable,NOT TESTABLE: the arm's nearest observations straddle a 8-day hole (2026-08-23 -> 2026-08-31); no detector can separate the event from the hole,8.0,1.0,1580.0,401.0,50.9493670886076,7.787739973985531
2026-09-06,ChatGPT,arms absent; MANDATORY_LLMS downgraded as repository variable,panel composition,declared (HEALTH-CHECK-APIS-20260908.md:44),not testable,NOT TESTABLE: the arm's nearest observations straddle a 8-day hole (2026-08-31 -> 2026-09-08); no detector can separate the event from the hole,8.0,1.0,768.0,192.0,17.057291666666664,9.268483434043054
2026-09-06,Claude,arms absent; MANDATORY_LLMS downgraded as repository variable,panel composition,declared (HEALTH-CHECK-APIS-20260908.md:44),not testable,NOT TESTABLE: the arm's nearest observations straddle a 8-day hole (2026-08-31 -> 2026-09-08); no detector can separate the event from the hole,8.0,1.0,768.0,192.0,26.041666666666668,10.445813041980829
(none),Perplexity,UNDECLARED RUPTURE 2026-05-24 -> 2026-05-25,"detected, not declared",,rupture without declared event,delta -7.9 pp (p_perm=0.001); boundary localised to a 1-day interval; nearest declared event for this arm: 2026-04-30 at 24 d,1.0,,,,,
(none),Perplexity,UNDECLARED RUPTURE 2026-05-27 -> 2026-05-28,"detected, not declared",,rupture without declared event,delta +5.8 pp (p_perm=0.008); boundary localised to a 1-day interval; nearest declared event for this arm: 2026-04-30 at 27 d,1.0,,,,,
(none),Perplexity,UNDECLARED RUPTURE 2026-08-08 -> 2026-08-10,"detected, not declared",,rupture without declared event,delta +5.2 pp (p_perm=0.001); boundary localised to a 2-day interval; nearest declared event for this arm: 2026-08-19 at 9 d,2.0,,,,,
(none),Groq,UNDECLARED RUPTURE 2026-06-09 -> 2026-08-08,"detected, not declared",,rupture across a data hole (not attributable),delta +1.7 pp (p_perm=0.001); boundary localised to a 60-day interval; nearest declared event for this arm: 2026-08-17 at 9 d,60.0,,,,,
